Line #,Key,en Version,ka Translation,
55,ka.helpers.links.change_password,Change Your Password,პაროლის შეცვლა,
56,ka.helpers.links.change_password2,Change Password,პაროლის შეცვლა,
57,ka.helpers.links.password_reset,Reset Password,პაროლის აღდგენა,
58,ka.helpers.links.sign_in2,Sign In,შესვლა,
59,ka.helpers.links.sign_in,Already have an account?,უკვე გაქვთ ანგარიში?,
60,ka.helpers.links.sign_up2,Sign Up,რეგისტრაცია,
61,ka.helpers.links.sign_up_question,Not a member yet?,არ გაქვთ ანგარიში?,
62,ka.helpers.links.sign_up,Register now,დარეგისტრირდით,
63,ka.helpers.links.sign_up_title,Join %{app_name},შემოგვიერთდი “%{app_name}”,
64,ka.helpers.links.sign_out,Sign Out,გასვლა,
65,ka.helpers.links.sign_in_provider,Sign in with %{provider},შესვლა %{provider}-ით,
66,ka.helpers.links.sign_up_provider,Sign up with %{provider},დარეგისტრირდით %{provider}-ით,
67,ka.helpers.links.sign_in_local_or_provider,or log in with your email and password,ან შეიყვანეთ თქვენი ელ. ფოსტა და პაროლი,
68,ka.helpers.links.reset_or_sign_in,sign in with facebook or reset your password,შედით facebook-ით ან შეცვალეთ პაროლი,
69,ka.helpers.links.like,Like,მოწონება,
70,ka.helpers.links.likes,Likes,მოწონება,
71,ka.helpers.links.menu,Menu,მენიუ,
72,ka.helpers.links.api_home,API Home,API-ს სახლი,
73,ka.helpers.titles.edit,Edit %{model},შეცვლა %{model},
74,ka.helpers.titles.save,Save %{model},შენახვა %{model},
75,ka.helpers.titles.new,New %{model},ახალი %{model},
76,ka.helpers.titles.delete,Delete %{model},წაშლა %{model},
77,ka.app.language.en,English,ინგლისური,
78,ka.app.language.ka,ქართული,ქართული,
79,ka.app.buttons.back,View All,იხილეთ ყველა,
80,ka.app.buttons.list,View All,იხილეთ ყველა,
81,ka.app.buttons.admin,Admin Section,ადმინისტრატორის განყოფილება,
82,ka.app.buttons.delete,Delete,წაშლა,
83,ka.app.buttons.edit,Edit,შეცვლა,
84,ka.app.buttons.show,Show,ჩვენება,
85,ka.app.buttons.cancel,Cancel,გაუქმება,
86,ka.app.buttons.update,Update,განახლება,
87,ka.app.buttons.save,Save,შენახვა,
88,ka.app.buttons.create,Create,შექმნა,
89,ka.app.buttons.reset,Reset,საწყის კონფიგურაციაზე დაბრუნება,
90,ka.app.buttons.remove,Remove,ამოშლა,
91,ka.app.buttons.confirm,Are you sure?,დარწმუნებული ხართ?,
92,ka.app.buttons.new,New,ახალი,
93,ka.app.common.app_name,Lari Explorer,ლარის გზამკვლევი,
94,ka.app.common.added_on,Added on: %{date},დამატებულია: %{date},
95,ka.app.common.jumpstart,JumpStart Georgia,“ჯამპსტარტ ჯორჯია”,
96,ka.app.common.js_link_title,JumpStart Georgia - We communicate data better!,“ჯამპსტარტ ჯორჯია” - ჩვენ გაწვდით მონაცემებს უკეთ!,
97,ka.app.common.compare_to_other_banks,Compare to other banks,სხვა ბანკებთან შედარება,
98,ka.app.common.buy,Buy,ყიდვა,
99,ka.app.common.sell,Sell,გაყიდვა,
100,ka.app.common.about,About,შესახებ,
101,ka.app.common.api,API,API,
102,ka.app.common.last_update,Last update:,ბოლო განახლება:,
103,ka.app.common.gel,Lari,ლარი,
104,ka.app.common.usd,Dollar,დოლარი,
105,ka.app.common.share,Share this,გააზიარე,
106,ka.app.common.m1,1m,1თ,
107,ka.app.common.m3,3m,3თ,
108,ka.app.common.m6,6m,6თ,
109,ka.app.common.y1,1y,1წ,
110,ka.app.common.all,All,ყვ.,
111,ka.app.common.date,Date,თარიღი,
112,ka.app.common.description,"Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.","Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet.",
113,ka.app.common.nav_toggle,Navigation toggle,ნავიგაციის ჩართვა/გამორთვა,
114,ka.app.msgs.does_not_exist,You tried to access a page that does not exist.,"თქვენ ცდილობთ ისეთი გვერდის ნახვას, რომელიც არ არსებობს.",
115,ka.app.msgs.not_authorized,You are not authorized to view that page.,თქვენ არ გაქვთ ამ გვერდის ნახვის უფლება.,
116,ka.app.msgs.success_created,%{obj} was successfully created.,%{obj} შექმნილია.,
117,ka.app.msgs.success_updated,%{obj} was successfully updated.,%{obj} განახლებულია.,
118,ka.app.msgs.missing_data_currency,Missing data for currency,ვალუტის შესახებ მონაცემები არ მოიძებნა,
119,ka.app.msgs.currency_does_not_exist,Currency %{obj} is not exist,ვალუტა %{obj} არ არსებობს,
120,ka.app.msgs.currency_is_not_valid,Currency is not valid,არასწორი ვალუტა,
121,ka.app.msgs.currency_not_recognized,The provided currency is not recognized,მოცემული ვალუტა არ მოიძებნა,
122,ka.app.msgs.greater_than_zero,Amount should be greater than 0.,თანხა უნდა იყოს 0-ზე მეტი.,
123,ka.app.msgs.currency_directions,"Direction can be 0 or 1 - 1: GEL -> Currency, 0: Currency -> GEL.","მიმართულება შეიძლება იყოს 0 ან 1 - 1: GEL -> ვალუტა, 0: ვალუტა-> GEL.",
124,ka.app.msgs.start_less_then_end_date,Please make sure the start date is less than the end date,"გთხოვთ დარწმუნდეთ, რომ საწყისი თარიღი უფრო ნაკლებია ვიდრე დასრულების თარიღი",
125,ka.app.msgs.start_date_start_point,The start date must occur after '2000-01-01',საწყისი თარიღი უნდა გამოჩნდეს '2000-01-01'-ს შემდეგ,
126,ka.app.msgs.invalid_field,%{obj} field is invalid.,%{obj} ველი არასწორია,
127,ka.layouts.application.toggle,Toggle navigation,ნავიგაციის ჩართვა/გამორთვა,
128,ka.layouts.unsupported_browser.title,Unsupported Browser,არასათანადო ბრაუზერი,
129,ka.layouts.unsupported_browser.p1,We are sorry to report that your browser is out of date and will not properly render the content from this website.,"სამწუხაროდ, თქვენი ინტერნეტ ბრაუზერის მოხმარების ვადა გასულია და ვერ მოხდება ვებ-გვერდთან სრულად დაკავშირება.",
130,ka.layouts.unsupported_browser.p2,"On the bright side, there are several free browsers that you can download that are compatible with this site.","არსებობს რამდენიმე უფასო ბრაუზერი, რომლის გადმოწერის შემდეგ შეძლებთ ვებ-გვერდით სარგებლობას.",
131,ka.layouts.unsupported_browser.chrome,Chrome,Chrome,
132,ka.layouts.unsupported_browser.firefox,Firefox,Firefox,
133,ka.layouts.unsupported_browser.ie,Internet Explorer (Windows only),Internet Explorer (მხოლოდ Windows-ზე),
134,ka.layouts.unsupported_browser.opera,Opera,Opera,
135,ka.layouts.unsupported_browser.Safari,Safari,Safari,
136,ka.admin.index.title,Administration Section,ადმინისტრატორის განყოფილება,
137,ka.admin.index.users,Users,მომხმარებლები,
138,ka.admin.index.pages,Edit Text on Site,საიტზე ტექსტის რედაქტირება,
139,ka.admin.index.banks,Banks,ბანკები,
140,ka.admin.index.api_documentation,API Version Documentation,API ვერსიის დოკუმენტაცია,
141,ka.admin.users.edit.title,Editing User,ცვლილებების შეტანა მომხმარებლის გვერდზე,
142,ka.admin.users.index.title,Users,მომხმარებლები,
143,ka.admin.users.new.title,New User,ახალი მომხმარებელი,
144,ka.admin.users.show.title,User Details,მომხმარებლის დეტალები,
145,ka.devise.mailer.reset_password_instructions.title,Hello %{nickname}!,"მოგესალმებით, %{nickname}!",
146,ka.devise.mailer.reset_password_instructions.p1,"Someone has requested a link to change your password on %{app_name}, and you can do this through the link below.","მივიღეთ მოთხოვნა ""%{app_name}"" თქვენი პაროლის შეცვლის შესახებ. პაროლის შესაცვლელად, მიჰყევით შემდეგ ბმულს.",
147,ka.devise.mailer.reset_password_instructions.link_title,Change my password,პაროლის შეცვლა,
148,ka.devise.mailer.reset_password_instructions.p2,"If you didn't request this, please ignore this email.","თუ თქვენ არ მოგითხოვიათ პაროლის შეცვლა, გთხოვთ, არ მიაქციოთ ყურადღება ამ შეტყობინებას.",
149,ka.devise.mailer.reset_password_instructions.p3,Your password won't change until you access the link above and create a new one.,"თქვენი პაროლი იგივე დარჩება, სანამ არ გადახვალთ ზემოთ მითითებულ ბმულზე და შექმნით ახალ პაროლს.",
150,ka.root.tab1,Deprecation Calculator,გაუფასურების კალენდარი,
151,ka.root.tab2,National Bank Rate,ეროვნული ბანკის კურსი,
152,ka.root.tab3,Commercial Banks Rate,კომერციული ბანკის კურსი,
153,ka.root.index.title,JumpStart Georgia's Lari Exchange Rate Viewer,"""JumpStart Georgia""-ს ლარის გაცვლითი კურსის მაჩვენებელი",
154,ka.root.index.page1.intro,The Georgian Lari depreciated dramatically against the U.S. Dollar (USD) during the winter of 2014-2015 . Use the Lari Depreciation Calculator to calculate how much your net worth or payment responsibilities have changed over time due to the currency rate change.,"ქართული ლარის ღირებულება ამერიკულ დოლართან მიმართებაში მნიშვნელოვნად შემცირდა 2014-2015 წლების ზამთარში. ლარის გაუფასურების კალკულატორის გამოყენებით, შეგიძლიათ, დაიანგარიშოთ, როგორ შეიცვალა თქვენი ქონება ან საგადასახადო ვალდებულებები ამ დროის განმავლობაში, ლარის კურსის ცვლილების გამო.",
155,ka.root.index.page1.chart.title,Your Monetary Value Change,თქვენ მიერ მითითებული თანხის ცვლილება,
156,ka.root.index.page2.intro,View the National Bank of Georgia's suggested exchange rate of the Lari against foreign currencies over time.,ეროვნული ბანკის მიერ დადგენილი ლარის ოფიციალური გაცვლითი კურსი,
157,ka.root.index.page2.title,Lari Exchange Rate,ლარის გაცვლითი კურსი,
158,ka.root.index.page3.intro,View Georgian Commercial Bank's prices to buy and sell foreign currency compared with the National Bank of Georgia's suggested exchange rate over time.,ნახეთ კომერციულ ბანკებში უცხოური ვალუტების ყიდვისა და გაყიდვის ფასი ეროვნული ბანკის კურსთან შედარებით.,
159,ka.root.index.page3.title,Bank vs Nbg Charts,ბანკი vs სებ ცხრილები,
160,ka.root.index.currency,Currency,ვალუტა,
161,ka.root.index.bank,Bank,ბანკი,
162,ka.root.index.load_rates,Load Rates,კურსის ჩატვირთვა,
163,ka.root.index.rate,Exchange Rate,ვალუტის კურსი,
164,ka.root.index.monetary_value,Monetary Value,ფულადი ღირებულება,
165,ka.root.index.gel,GEL,GEL,
166,ka.root.index.usd,USD,USD,
167,ka.root.index.both,Both,ორივე,
168,ka.root.index.buy,Buy,ყიდვა,
169,ka.root.index.sell,Sell,გაყიდვა,
170,ka.root.index.cost,Cost,ღირებულება,
171,ka.root.index.calculator.title,How has the Lari depreciation affected you?,რა გავლენა იქონია ლარის გაუფასურებამ თქვენს ფინანსებზე?,
172,ka.root.index.calculator.enter_data,"Enter your monetary value <br><i>(salary, net worth, rent, loan, etc.)</i>","შეიყვანეთ თანხა <br><i>(დანაზოგი, ხელფასი, ქირა, სესხი, ა.შ.)</i>",
173,ka.root.index.calculator.gel,Lari,ლარი,
174,ka.root.index.calculator.usd,Dollar,დოლარი,
175,ka.root.index.calculator.your_net_worth,Monetary Value,ფულადი ღირებულება,
176,ka.root.index.calculator.difference,Your monetary value <br> <span class='up'>descreased</span> by,თქვენ მიერ მითითებული თანხა <br>ამ დროის განმავლობაში <span class='up'>შემცირდა</span>,
177,ka.root.index.calculator.increased,increased,გაიზრდებოდა,
178,ka.root.index.calculator.decreased,decreased,შემცირდებოდა,
179,ka.root.index.calculator.info_gel,"According to <a class='forbes' href='http://www.forbes.com/profile/bidzina-ivanishvili/'>Forbes</a>, Bidzina Ivanishvili, Georgia’s richest person and former Prime Minister, has a net worth of <b>5,200,000,000 USD</b>. If he had his money saved in Lari, his net worth would have <b class='up'>increased</b><b> by <span class='value'></span> USD</b> during this same time period.","<a class='forbes' href='http://www.forbes.com/profile/bidzina-ivanishvili/'>Forbes-ის</a> მიხედვით, საქართველოს ყოფილი პრემიერმინისტრისა და ქვეყნის უმდიდრესი ადამიანის, ბიძინა ივანიშვილის, ქონება ამჟამად <b>5,200,000,000 აშშ დოლარია</b>. მას რომ ფული ლარებში ჰქონოდა შენახული, ამავე პერიოდში, ლარის კურსის ცვლილების გამო, მისი ქონება <b><span class='value'></span> აშშ დოლარით</b> <b class='up'>გაიზრდებოდა</b>.",
180,ka.root.index.calculator.info_usd,"According to <a class='forbes' href='http://www.forbes.com/profile/bidzina-ivanishvili/'>Forbes</a>, Bidzina Ivanishvili, Georgia’s richest person and former Prime Minister, has a net worth of <b>5,200,000,000 USD</b>. His net worth has <b class='up'>increased</b><b> by <span class='value'></span> GEL</b> during this same time period.","<a class='forbes' href='http://www.forbes.com/profile/bidzina-ivanishvili/'>Forbes-ის</a> მიხედვით, საქართველოს ყოფილი პრემიერმინისტრისა და ქვეყნის უმდიდრესი ადამიანის, ბიძინა ივანიშვილის, ქონება ამჟამად <b>5,200,000,000 აშშ დოლარია</b>. ლარის კურსის ცვლილების გამო, ამავე პერიოდში, მისი ქონება <b><span class='value'></span> ლარით</b> <b class='up'>გაიზარდა</b>.",
181,ka.root.index.calculator.your_net_worth_change,Your net worth change,თქვენი ქონება შეიცვალა,
182,ka.root.index.hsw,How does this work?,როგორ მუშაობს <br>კალკულატორი?,
183,ka.root.index.hsw_text,"It is pretty simple, actually. The calculator divides your monetary value by the exchange rates from the dates you selected to convert your <span class='from-value'>GEL</span> into <span class='to-value'>USD</span>. Then the difference is taken between the two numbers to see how much your monetary value has changed. That's it!","მარტივად. კალკულატორს თქვენ მიერ მითითებული თანხა გადაჰყავს მეორე ვალუტაში არჩეული თარიღების შესაბამისი კურსით. შემდეგ კი ითვლის სხვაობას იმის საჩვენებლად, თუ როგორ შეიცვალა თქვენი ქონება თუ ფულადი ვალდებულება ამ დროის განმავლობაში. სულ ესაა!",
184,ka.root.index.hint.currency,Type Currency,შეიყვანეთ ვალუტა,
185,ka.root.index.hint.bank,Type Bank Name,შეიყვანეთ ბანკის სახელი,
186,ka.root.about.title,About,შესახებ,
187,ka.root.about.intro,"Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.","Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.",
188,ka.root.api.title,About,API,
189,ka.root.api.intro,"Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.","Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt ut labore et dolore magna aliquyam erat, sed diam voluptua. At vero eos et accusam et justo duo dolores et ea rebum. Stet clita kasd gubergren, no sea takimata sanctus est Lorem ipsum dolor sit amet. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat. Duis autem vel eum iriure dolor in hendrerit in vulputate velit esse molestie consequat, vel illum dolore eu feugiat nulla facilisis at vero eros et accumsan et iusto odio dignissim qui blandit praesent luptatum zzril delenit augue duis dolore te feugait nulla facilisi. Nam liber tempor cum soluta nobis eleifend option congue nihil imperdiet doming id quod mazim placerat facer possim assum. Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat.",
190,ka.chart.nbg.title,Lari Exchange Rate,ლარის გაცვლითი კურსი,
191,ka.highcharts.downloadPNG,Download PNG image,ჩამოტვირთე PNG გამოსახულება,
192,ka.highcharts.downloadJPEG,Download JPEG image,ჩამოტვირთე JPEG გამოსახულება,
193,ka.highcharts.downloadPDF,Download PDF document,ჩამოტვირთე PDF დოკუმენტი,
194,ka.highcharts.downloadSVG,Download SVG vector image,ჩამოტვირთე SVG ვექტორული გამოსახულება,
195,ka.highcharts.downloadCSV,Download CSV data,ჩამოტვირთე CSV მონაცემები,
196,ka.highcharts.printChart,Print chart,ამობეჭდე გრაფიკი,
197,ka.highcharts.contextButtonTitle,Download Chart,გრაფიკის ჩამოტვირთვა,
198,ka.api.index.title,API,API,
199,ka.api.index.no_versions,No documentation for the API has been created yet.,API-ს დოკუმენტაცია ჯერ არ შექმნილა,
